timestamp,sensor_id,value,unit
2025-01-01T00:00:00Z,s1,22.3,celsius
2025-01-01T00:05:00Z,s1,22.1,celsius
2025-01-01T00:10:00Z,s1,22.4,celsius
2025-01-01T00:15:00Z,s1,21.9,celsius
2025-01-01T00:20:00Z,s1,22.0,celsius
2025-01-01T00:25:00Z,s2,1013.2,hPa
2025-01-01T00:30:00Z,s2,1013.5,hPa
2025-01-01T00:35:00Z,s2,1012.8,hPa
2025-01-01T00:40:00Z,s3,65,percent
2025-01-01T00:45:00Z,s3,64,percent
2025-01-01T00:50:00Z,s3,66,percent
2025-01-01T00:55:00Z,s1,22.2,celsius
2025-01-01T01:00:00Z,s2,1013.0,hPa
2025-01-01T01:05:00Z,s3,65,percent
